"stop_id","stop_name","stop_lat","stop_lon","location_type","parent_station"
"START_RP3003","B.S.CARRO-PROV.LE ROSSO PICENO","42.9527125200649","13.7692376991976",,
"START_RP3004","AZIENDA COCCI GRIFONI","42.9548428535775","13.7568009728836",,
"START_RP3007","VALTESINO-SAN RUSTICO","42.9723860934199","13.7507484528182",,
"START_RP3008","SPACCIO MARONI","42.9747744230391","13.7717348577184",,
"START_RP3009","AGRITURISMO LA VIGNA","42.9781317258426","13.785514138519",,
"START_RP3010","SAN SALVATORE","42.9824843347521","13.8102557207645",,
"START_RP3012","PREFABBRICATI SVM","42.9927890752177","13.7301008951315",,
"START_RP3013","RIPATRANSONE - MADONNA DEL CARMINE","42.9977517378924","13.7481705745371",,
"START_RP3014","BIVIOTTO","42.9938028794731","13.750210415422",,
"START_RP3015","CASE CELLINI","42.9908557759791","13.747510160103",,
"START_RP3017","SUORE PASSIONISTE","43.0013348842075","13.7613387690327",,
"START_RP3018","RIPATRANSONE - MATTATOIO","43.0031902001542","13.764700012595",,
"START_RP3020","CIMITERO","42.9946497097533","13.7626752573557",,
"START_RP3021","MOBILIFICIO LA RIPANA","42.9913469918854","13.768712322839",,
"START_RP3022","SANTA MARIA ALLA PETRELLA","42.9914333331127","13.7864911709956",,
"START_RP3023","CASA BRUCIATA","42.9932182113586","13.7956226048659",,
"START_RP3024","QUERCIA FERRATA","42.9929321741025","13.801399813663",,
"START_RP3027","AGRITURISMO I CALANCHI","42.9611442754853","13.7830038790646",,
"START_RP3028","COLLE VECCHIO","42.9677327922959","13.7742752711194",,
"START_RP3031","SAN GIUSEPPE","43.0063582830203","13.7422290661814",,
"START_RP3033","BIVIO MADONNA DELLA FEDE","43.02243172434","13.7352644092085",,
"START_RP3039","FORNACE DEPOSITO START","42.9936263404692","13.7550809736298",,
"START_RP3501","BAR PANORAMICO-CENTRO","42.9966862524553","13.7586504460885",,
"START_RP3502","AZIENDA AGRICOLA CIU-CIU","42.9487779450002","13.7663649387618",,
"START_RP3503","B.S.CARRO-PROV.LE ROSSO PICENO","42.9522768490285","13.7689184558089",,
"START_RP3504","AZIENDA COCCI-GRIFONI","42.9545540260732","13.7567393610433",,
"START_RP3507","VALTESINO-SAN RUSTICO","42.972454351395","13.7508145171123",,
"START_RP3508","SPACCIO MARONI","42.9745457676702","13.7718252521678",,
"START_RP3509","AGRITURISMO LA VIGNA","42.977784672765","13.7859042188911",,
"START_RP3510","SAN SALVATORE","42.9821744782132","13.8090352100309",,
"START_RP3512","PREFABBRICATI SVM","42.9928372131159","13.7291645484397",,
"START_RP3513","RIPATRANSONE - MADONNA DEL CARMINE","42.9977500871211","13.7484313017896",,
"START_RP3514","BIVIOTTO","42.9937023928701","13.7504915292574",,
"START_RP3515","CASE CELLINI","42.9906833062777","13.7477957929051",,
"START_RP3517","SUORE PASSIONISTE","43.0013842343081","13.7613224416931",,
"START_RP3518","RIPATRANSONE - MATTATOIO","43.003311971379","13.764719043382",,
"START_RP3520","CIMITERO","42.9947451687374","13.7627592134164",,
"START_RP3521","MOBILIFICIO LA RIPANA","42.9915047745811","13.7687306394964",,
"START_RP3522","SANTA MARIA ALLA PETRELLA","42.9915571644746","13.7862802001956",,
"START_RP3523","CASA BRUCIATA","42.9932928979064","13.7954463405457",,
"START_RP3524","QUERCIA FERRATA","42.9931536162189","13.8014783123467",,
"START_RP3531","SAN GIUSEPPE","43.0062469116595","13.7419276653484",,
"START_RP3532","CASE TOZZI","43.0222115626551","13.7353057474095",,
"START_RP3539","FORNACE DEPOSITO START","42.9938037634911","13.7548351155662",,
"START_RP4001","S. MARIA IN CARRO","42.9453368849019","13.765839170032",,
"START_RP4005","SAN GIOVANNI IN STRADA","42.9594308517825","13.7497723189707",,
"START_RP4011","MADONNA DEL TRIVIO","42.9932201431714","13.7114676005783",,
"START_RP4036","CONTRADA SAN MICHELE","43.0215065911284","13.7714386973541",,
"START_RP4037","CONTRADA SAN GIUSEPPE - CHIESA","43.0136915294127","13.7429383820226",,
"START_RP4038","PIAZZALE ISTITUTO MAGISTRALE","43.0014808991409","13.7640165437376",,
"START_RP4041","STRADA DELL'OTTO - RISTORANTE DUE CIPRES","42.9838562749994","13.7411088103318",,
"START_RP4042","VALTESINO - MOLINO CAROSI","42.9743277268616","13.7397580379139",,
"START_RP4043","CASA ILLUMINATI","42.9578857500405","13.783766681558",,
"START_RP4044","SAN SAVINO","42.9543773072764","13.7805738197105",,
"START_RP4045","SAN SAVINO","42.9538807601033","13.7816379184533",,
"START_RP4505","SAN GIOVANNI IN STRADA","42.9594627972477","13.7498115181711",,
"START_RP4511","MADONNA DEL TRIVIO","42.9932777980458","13.7113897269228",,
"START_RP4536","CONTRADA SAN MICHELE","43.0216132758976","13.7713107747177",,
"START_RP4537","CONTRADA SAN GIUSEPPE - CHIESA","43.0137663688677","13.7427834663007",,
"START_RP4541","STRADA DELL'OTTO - RISTORANTE DUE CIPRES","42.983645820135","13.7412142923821",,
"START_RP4542","VALTESINO-MOLINO CAROSI","42.9744949215419","13.7398128741837",,
"START_RP4544","SAN SAVINO","42.9539888847387","13.7796154606393",,
"START_RP4545","SAN SAVINO","42.9538437557079","13.7812071238681",,
"START_RP4546","VALTESINO-BIVIO STRADA DELL'OTTO","42.9745496260158","13.7394653181823",,
"START_RT3001","CENTRO RIETI","42.3990204036594","12.8626741664979",,
"START_RT3002","BIVIO FRAZIONE TORRITA","42.6192754277979","13.2254514962309",,
"START_RT3003","BIVIO POSTA","42.5268435870251","13.0990701085747",,
"START_RT3004","OSTERIA NUOVA","42.2092084080864","12.8225775693481",,
"START_RT3005","CAPORIO","42.3781398865891","12.9708390707241",,
"START_RT3006","BIVIO CITTAREALE","42.5465670771895","13.1317502988442",,
"START_RT3007","PASSO CORESE","42.1516335036841","12.6531238631384",,
"START_RT3501","CENTRO RIETI","42.3988846449367","12.8628792515092",,
"START_RT3502","BIVIO FRAZIONE TORRITA","42.6189859537266","13.2256578552639",,
"START_RT3503","BIVIO POSTA","42.5268232051136","13.0991985642474",,
"START_RT3504","OSTERIA NUOVA","42.2088347496367","12.8232929892203",,
"START_RT3505","CAPORIO","42.3787818500849","12.971747580817",,
"START_RT3506","BIVIO CITTAREALE","42.5463460733193","13.1320035121378",,
"START_RT3507","PASSO CORESE","42.1529848282029","12.6568846376985",,
"START_RV3001","VALCINANTE","42.8838588637854","13.4626506995041",,
"START_RV3002","BIVIO CIARPELLESCO","42.8804655127198","13.4624288535583",,
"START_RV3003","BIVIO CASETTE","42.8726099362501","13.4642002020033",,
"START_RV3004","BIVIO ROCCAFLUVIONE","42.8657998570437","13.4751417243691",,
"START_RV3005","ARENA","42.8682736441909","13.4395357657229",,
"START_RV3006","BIVIO MONTEGALLO - EX-SS78","42.8693364594539","13.4494926196689",,
"START_RV3008","ROCCAFLUVIONE - CIMITERO","42.86398659476","13.4735460267678",,
"START_RV3010","ROCCAFLUVIONE - CONSORZIO AGRARIO","42.8591985351453","13.4771219002333",,
"START_RV3013","BIVIO RONCIGLIONE","42.8612649358463","13.4095603162896",,
"START_RV3014","BIVIO BOVECCHIO - PONTE PAOLETTI","42.8628026852352","13.4204643256978",,
"START_RV3015","BIVIO PEDARA","42.8648549986461","13.4312089517519",,
"START_RV3016","ROCCAFLUVIONE - CASA CANTONIERA","42.8686156212889","13.4651623290369",,
"START_RV3017","ROCCAFLUVIONE - TRE FONTANE","42.8560588495136","13.4797235135225",,
"START_RV3018","BIVIO OSOLI","42.8512330031327","13.4848812223416",,
"START_RV3019","CURVA BRANDI - EX-SS78","42.8478332458166","13.4889417194548",,
"START_RV3020","RIFORNIMENTO ESSO EX-SS78","42.8427840959322","13.4884621218782",,
"START_RV3021","SALARE - EX-SS78","42.835856046597","13.4933448412955",,
"START_RV3022","BIVIO SCALELLE","42.8320779218309","13.496045749394",,
"START_RV3023","RONCIGLIONE","42.8575634517336","13.4037066956775",,
"START_RV3501","VALCINANTE","42.8840256638873","13.4616608135693",,
"START_RV3502","BIVIO CIARPELLESCO","42.8805935942431","13.4619083390056",,
"START_RV3503","BIVIO CASETTE","42.8727970484735","13.4640517057923",,
"START_RV3504","BIVIO ROCCAFLUVIONE","42.8650876531393","13.4747430453948",,
"START_RV3505","ARENA","42.8682610446988","13.4386118023439",,
